panels,region_index,region_abbreviation,region_name,continent,years_without_sufficient_observations,boundary_source
"a,b",0,GIC,Greenland/Iceland,North and Central America,0.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",1,NWN,N.W.North-America,North and Central America,57.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",2,NEN,N.E.North-America,North and Central America,0.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",3,WNA,W.North-America,North and Central America,139.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",4,CNA,C.North-America,North and Central America,152.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",5,ENA,E.North-America,North and Central America,153.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",6,NCA,N.Central-America,North and Central America,123.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",7,SCA,S.Central-America,North and Central America,130.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",8,CAR,Caribbean,North and Central America,149.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",9,NWS,N.W.South-America,South America,99.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",10,NSA,N.South-America,South America,46.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",11,NES,N.E.South-America,South America,72.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",12,SAM,South-American-Monsoon,South America,41.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",13,SWS,S.W.South-America,South America,131.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",14,SES,S.E.South-America,South America,101.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",15,SSA,S.South-America,South America,150.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",16,NEU,N.Europe,Europe,110.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",17,WCE,West&Central-Europe,Europe,171.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",18,EEU,E.Europe,Europe,134.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",19,MED,Mediterranean,Europe,138.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",20,SAH,Sahara,Africa,8.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",21,WAF,Western-Africa,Africa,103.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",22,CAF,Central-Africa,Africa,52.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",23,NEAF,N.Eastern-Africa,Africa,64.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",24,SEAF,S.Eastern-Africa,Africa,44.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",25,WSAF,W.Southern-Africa,Africa,80.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",26,ESAF,E.Southern-Africa,Africa,97.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",27,MDG,Madagascar,Africa,111.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",28,RAR,Russian-Arctic,Asia,24.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",29,WSB,W.Siberia,Asia,89.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",30,ESB,E.Siberia,Asia,90.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",31,RFE,Russian-Far-East,Asia,89.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",32,WCA,W.C.Asia,Asia,96.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",33,ECA,E.C.Asia,Asia,77.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",34,TIB,Tibetan-Plateau,Asia,63.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",35,EAS,E.Asia,Asia,119.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",36,ARP,Arabian-Peninsula,Asia,63.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",37,SAS,S.Asia,Asia,147.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",38,SEA,S.E.Asia,Asia,123.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",39,NAU,N.Australia,Australasia,107.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",40,CAU,C.Australia,Australasia,55.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",41,EAU,E.Australia,Australasia,136.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",42,SAU,S.Australia,Australasia,135.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",43,NZ,New-Zealand,Australasia,132.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",44,EAN,E.Antarctica,Antarctica,0.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
"a,b",45,WAN,W.Antarctica,Antarctica,0.0,"AR6 land reference regions (Iturbide et al., 2020, ESSD)"
