year,prior_warming,posterior_warming,units,is_current_year,is_1p5C_crossing_year,is_2C_crossing_year
1850,0.017358767818886678,-0.014594211128941048,degC,False,False,False
1851,0.01717978240114587,-0.01204080124813961,degC,False,False,False
1852,0.01699929045265766,-0.009488662609383525,degC,False,False,False
1853,0.01681468926596183,-0.006941457381640426,degC,False,False,False
1854,0.01662278596160638,-0.004404624921639733,degC,False,False,False
1855,0.016419769240334947,-0.0018857401363179815,degC,False,False,False
1856,0.016201303865672367,0.0006063832275469139,degC,False,False,False
1857,0.015962449340858748,0.003061518112874473,degC,False,False,False
1858,0.015697459262660834,0.005467485218158763,degC,False,False,False
1859,0.01539958908924316,0.007809809478483198,degC,False,False,False
1860,0.015061939192369589,0.010072232800498349,degC,False,False,False
1861,0.014677639420374006,0.012236853900844946,degC,False,False,False
1862,0.014239822911665423,0.014285423444028,degC,False,False,False
1863,0.013741622804653075,0.016199692094553186,degC,False,False,False
1864,0.013176172237745892,0.017961410516925458,degC,False,False,False
1865,0.012536604349353275,0.019552329375650546,degC,False,False,False
1866,0.011816183097408561,0.020954337447683935,degC,False,False,False
1867,0.01100885350813724,0.022149445285876757,degC,False,False,False
1868,0.010109638553003675,0.02311869674278233,degC,False,False,False
1869,0.009115356604278507,0.023845939075480882,degC,False,False,False
1870,0.008024953600527324,0.024318447511110397,degC,False,False,False
1871,0.006839254512486459,0.02452353620829334,degC,False,False,False
1872,0.005560754534302659,0.024449734139003476,degC,False,False,False
1873,0.004194293485887596,0.02408784478705084,degC,False,False,False
1874,0.002747727634317021,0.02343057445621305,degC,False,False,False
1875,0.001231808982501581,0.02247607146909808,degC,False,False,False
1876,-0.0003414010103523213,0.021224522020887426,degC,False,False,False
1877,-0.001958542143027847,0.01967964574371095,degC,False,False,False
1878,-0.0036051078746394682,0.017847681255436898,degC,False,False,False
1879,-0.005265282791078796,0.01573869838176234,degC,False,False,False
1880,-0.006920975261816953,0.013369133447189319,degC,False,False,False
1881,-0.00855235384347433,0.010760294676065651,degC,False,False,False
1882,-0.010138863202936554,0.007935829560675733,degC,False,False,False
1883,-0.011659431648555207,0.004921934531570915,degC,False,False,False
1884,-0.013092307600339331,0.0017472988586906824,degC,False,False,False
1885,-0.014415696996806865,-0.0015576486980376503,degC,False,False,False
1886,-0.01560847096867432,-0.004962698795203724,degC,False,False,False
1887,-0.016650660272912482,-0.008435444668351388,degC,False,False,False
1888,-0.01752180173671683,-0.011939453773648911,degC,False,False,False
1889,-0.018201485581919613,-0.015436338550621653,degC,False,False,False
1890,-0.018670931665340923,-0.018886182661073447,degC,False,False,False
1891,-0.018912713012242593,-0.022250179378212387,degC,False,False,False
1892,-0.01891003379554343,-0.025490870684262035,degC,False,False,False
1893,-0.018647702535639105,-0.02857385714391858,degC,False,False,False
