panel,region_index,region_abbreviation,region_name,warming,units
a,0,GIC,Greenland/Iceland,2.5738368815369617,degC
a,1,NWN,N.W.North-America,2.9640508914683736,degC
a,2,NEN,N.E.North-America,3.33555045776609,degC
a,3,WNA,W.North-America,1.91349421057763,degC
a,4,CNA,C.North-America,2.0688393202720734,degC
a,5,ENA,E.North-America,1.8976180512838396,degC
a,6,NCA,N.Central-America,1.654879489653174,degC
a,7,SCA,S.Central-America,1.3462170960247692,degC
a,8,CAR,Caribbean,1.2276137109268452,degC
a,9,NWS,N.W.South-America,1.4538666992023643,degC
a,10,NSA,N.South-America,1.6260117310535172,degC
a,11,NES,N.E.South-America,1.7404139798719154,degC
a,12,SAM,South-American-Monsoon,1.8755868366323858,degC
a,13,SWS,S.W.South-America,1.1048159962407198,degC
a,14,SES,S.E.South-America,1.431584606699273,degC
a,15,SSA,S.South-America,0.9817890883955493,degC
a,16,NEU,N.Europe,2.1024022072418744,degC
a,17,WCE,West&Central-Europe,2.331664373192951,degC
a,18,EEU,E.Europe,2.603665656308735,degC
a,19,MED,Mediterranean,1.8269109868506777,degC
a,20,SAH,Sahara,2.109409951975412,degC
a,21,WAF,Western-Africa,1.6373727571239631,degC
a,22,CAF,Central-Africa,1.221539404093886,degC
a,23,NEAF,N.Eastern-Africa,1.9014441253472854,degC
a,24,SEAF,S.Eastern-Africa,1.4959797725744564,degC
a,25,WSAF,W.Southern-Africa,1.8342020503597154,degC
a,26,ESAF,E.Southern-Africa,1.6372330564121709,degC
a,27,MDG,Madagascar,1.2547281150705174,degC
a,28,RAR,Russian-Arctic,4.006370470597518,degC
a,29,WSB,W.Siberia,2.6093643958631274,degC
a,30,ESB,E.Siberia,2.85312369422473,degC
a,31,RFE,Russian-Far-East,2.2410517796599385,degC
a,32,WCA,W.C.Asia,2.299798196209024,degC
a,33,ECA,E.C.Asia,2.1905143252484165,degC
a,34,TIB,Tibetan-Plateau,2.326576949142124,degC
a,35,EAS,E.Asia,1.8175950984928217,degC
a,36,ARP,Arabian-Peninsula,2.1065847032309954,degC
a,37,SAS,S.Asia,1.5881619312932078,degC
a,38,SEA,S.E.Asia,1.238860806627812,degC
a,39,NAU,N.Australia,1.288236937056488,degC
a,40,CAU,C.Australia,1.6645391760482382,degC
a,41,EAU,E.Australia,1.629613493591033,degC
a,42,SAU,S.Australia,1.202367651622584,degC
a,43,NZ,New-Zealand,1.1878760922152412,degC
a,44,EAN,E.Antarctica,1.5615660993735863,degC
a,45,WAN,W.Antarctica,1.6675696131157254,degC
a,46,LSAT,Global Land,1.892489691415294,degC
b,0,GIC,Greenland/Iceland,2.775499540984458,degC
b,1,NWN,N.W.North-America,3.2270522250510547,degC
b,2,NEN,N.E.North-America,3.6038726399280616,degC
b,3,WNA,W.North-America,2.0858034715719835,degC
b,4,CNA,C.North-America,2.2532483772576244,degC
b,5,ENA,E.North-America,2.0767570132317617,degC
b,6,NCA,N.Central-America,1.8119064003299463,degC
b,7,SCA,S.Central-America,1.474697709948195,degC
b,8,CAR,Caribbean,1.3429284132707702,degC
b,9,NWS,N.W.South-America,1.58586317113719,degC
b,10,NSA,N.South-America,1.7861728719443317,degC
b,11,NES,N.E.South-America,1.8775199476800097,degC
b,12,SAM,South-American-Monsoon,2.0602629364200142,degC
b,13,SWS,S.W.South-America,1.2283839362612436,degC
b,14,SES,S.E.South-America,1.5479132942474354,degC
b,15,SSA,S.South-America,1.0614785014605912,degC
b,16,NEU,N.Europe,2.2649883860548328,degC
b,17,WCE,West&Central-Europe,2.552888476890853,degC
b,18,EEU,E.Europe,2.8528636797014033,degC
b,19,MED,Mediterranean,2.0010795626315305,degC
b,20,SAH,Sahara,2.2973161661040757,degC
b,21,WAF,Western-Africa,1.7905028320247427,degC
b,22,CAF,Central-Africa,1.3519520008382948,degC
b,23,NEAF,N.Eastern-Africa,2.039132896575208,degC
b,24,SEAF,S.Eastern-Africa,1.6313418054215463,degC
b,25,WSAF,W.Southern-Africa,1.9827098046278673,degC
b,26,ESAF,E.Southern-Africa,1.78295159270169,degC
b,27,MDG,Madagascar,1.3849008973956867,degC
b,28,RAR,Russian-Arctic,4.334132263125895,degC
b,29,WSB,W.Siberia,2.8787167453389984,degC
b,30,ESB,E.Siberia,3.1254438286705555,degC
b,31,RFE,Russian-Far-East,2.4531352656378664,degC
b,32,WCA,W.C.Asia,2.513073056635943,degC
b,33,ECA,E.C.Asia,2.4044431225973018,degC
b,34,TIB,Tibetan-Plateau,2.530237231136347,degC
b,35,EAS,E.Asia,2.0090690008557486,degC
b,36,ARP,Arabian-Peninsula,2.300913721191356,degC
b,37,SAS,S.Asia,1.7361431271854504,degC
b,38,SEA,S.E.Asia,1.3485711932765905,degC
b,39,NAU,N.Australia,1.405284103550772,degC
b,40,CAU,C.Australia,1.8263121428989635,degC
b,41,EAU,E.Australia,1.7851938752660401,degC
b,42,SAU,S.Australia,1.282290593052171,degC
b,43,NZ,New-Zealand,1.297524427583334,degC
b,44,EAN,E.Antarctica,1.6955033177644807,degC
b,45,WAN,W.Antarctica,1.8243463825171788,degC
b,46,LSAT,Global Land,2.061577770716886,degC
c,0,GIC,Greenland/Iceland,3.5245315649091884,degC
c,1,NWN,N.W.North-America,4.203914321215297,degC
c,2,NEN,N.E.North-America,4.600496638919919,degC
c,3,WNA,W.North-America,2.725809298122441,degC
c,4,CNA,C.North-America,2.9381963032039558,degC
c,5,ENA,E.North-America,2.7421303004669033,degC
c,6,NCA,N.Central-America,2.395149211415099,degC
c,7,SCA,S.Central-America,1.9519114188066342,degC
c,8,CAR,Caribbean,1.7712398534466889,degC
c,9,NWS,N.W.South-America,2.0761357811808265,degC
c,10,NSA,N.South-America,2.3810571095387836,degC
c,11,NES,N.E.South-America,2.3867706852529307,degC
c,12,SAM,South-American-Monsoon,2.7462027356312095,degC
c,13,SWS,S.W.South-America,1.6873480836108796,degC
c,14,SES,S.E.South-America,1.9799908504029253,degC
c,15,SSA,S.South-America,1.3574667588679614,degC
c,16,NEU,N.Europe,2.8688799073601055,degC
c,17,WCE,West&Central-Europe,3.374577524407819,degC
c,18,EEU,E.Europe,3.778456338017034,degC
c,19,MED,Mediterranean,2.647991415531841,degC
c,20,SAH,Sahara,2.995253532867684,degC
c,21,WAF,Western-Africa,2.3592716816562107,degC
c,22,CAF,Central-Africa,1.8363416458889554,degC
c,23,NEAF,N.Eastern-Africa,2.550548332564634,degC
c,24,SEAF,S.Eastern-Africa,2.134115070282166,degC
c,25,WSAF,W.Southern-Africa,2.534309590009175,degC
c,26,ESAF,E.Southern-Africa,2.3241918703484776,degC
c,27,MDG,Madagascar,1.8683992786745647,degC
c,28,RAR,Russian-Arctic,5.551533206802731,degC
c,29,WSB,W.Siberia,3.8791683291065153,degC
c,30,ESB,E.Siberia,4.136918613755042,degC
c,31,RFE,Russian-Far-East,3.2408727789605436,degC
c,32,WCA,W.C.Asia,3.305234786219586,degC
c,33,ECA,E.C.Asia,3.199035798464596,degC
c,34,TIB,Tibetan-Plateau,3.2866888723883876,degC
c,35,EAS,E.Asia,2.720256822275423,degC
c,36,ARP,Arabian-Peninsula,3.022706380980734,degC
c,37,SAS,S.Asia,2.2857875690709255,degC
c,38,SEA,S.E.Asia,1.7560662668151117,degC
c,39,NAU,N.Australia,1.8400298028779103,degC
c,40,CAU,C.Australia,2.427183162630227,degC
c,41,EAU,E.Australia,2.3630623746717996,degC
c,42,SAU,S.Australia,1.5791472326477847,degC
c,43,NZ,New-Zealand,1.7047896732362495,degC
c,44,EAN,E.Antarctica,2.192983925791916,degC
c,45,WAN,W.Antarctica,2.4066600974368657,degC
c,46,LSAT,Global Land,2.6896178742029617,degC
