panel,warming_level,region_index,region_abbreviation,region_name,posterior_mean,lower_5th_percentile,upper_95th_percentile,units
a,1.5 degC,0,GIC,Greenland/Iceland,92.73418509102086,73.44025276872298,131.8519350757562,percent
a,1.5 degC,1,NWN,N.W.North-America,91.85010606456733,74.90890861756894,114.12080955930921,percent
a,1.5 degC,2,NEN,N.E.North-America,92.55461529940948,78.82148123001764,113.98704014624845,percent
a,1.5 degC,3,WNA,W.North-America,91.7389503209288,79.69689318307567,109.96141883899409,percent
a,1.5 degC,4,CNA,C.North-America,91.81585754829253,79.51299384292919,110.30029076000258,percent
a,1.5 degC,5,ENA,E.North-America,91.3741010235399,79.50255847146201,107.09061295739517,percent
a,1.5 degC,6,NCA,N.Central-America,91.33360803581367,81.14731370162993,105.76164952277864,percent
a,1.5 degC,7,SCA,S.Central-America,91.28766437645453,82.01182551881084,105.71724575383242,percent
a,1.5 degC,8,CAR,Caribbean,91.41319066568336,79.8982170951301,102.74710710878566,percent
a,1.5 degC,9,NWS,N.W.South-America,91.67667965703663,78.09410891509232,112.3043942843053,percent
a,1.5 degC,10,NSA,N.South-America,91.03327883843227,72.11456993756441,120.27284238985581,percent
a,1.5 degC,11,NES,N.E.South-America,92.69749607840323,83.5562499376104,108.96317857448695,percent
a,1.5 degC,12,SAM,South-American-Monsoon,91.03628490698725,75.2019974767544,115.23715875703398,percent
a,1.5 degC,13,SWS,S.W.South-America,89.94060925311186,78.28245608095553,107.38864168199945,percent
a,1.5 degC,14,SES,S.E.South-America,92.48480596552282,77.58839376440253,107.75791507645236,percent
a,1.5 degC,15,SSA,S.South-America,92.49260225662701,80.02191890490008,111.11391242158845,percent
a,1.5 degC,16,NEU,N.Europe,92.82176545301623,75.49417135992242,121.71601173446689,percent
a,1.5 degC,17,WCE,West&Central-Europe,91.33436083477766,78.63939155757487,107.64188167007079,percent
a,1.5 degC,18,EEU,E.Europe,91.2649866460233,77.99769183256717,112.46429758444137,percent
a,1.5 degC,19,MED,Mediterranean,91.29626932215471,81.13015978638958,105.58291444584201,percent
a,1.5 degC,20,SAH,Sahara,91.82062021322359,80.28469947679355,104.40616832842147,percent
a,1.5 degC,21,WAF,Western-Africa,91.4476496679083,79.61287410989772,107.73107532989847,percent
a,1.5 degC,22,CAF,Central-Africa,90.35375540969318,73.90300354337109,130.6786446487701,percent
a,1.5 degC,23,NEAF,N.Eastern-Africa,93.24768035182134,80.83353234093236,108.13818125037251,percent
a,1.5 degC,24,SEAF,S.Eastern-Africa,91.70241132807163,77.28544837325771,112.52249391844704,percent
a,1.5 degC,25,WSAF,W.Southern-Africa,92.50985928845876,81.80990617888385,105.7021659975119,percent
a,1.5 degC,26,ESAF,E.Southern-Africa,91.8271176353861,79.46158413837738,107.03715918535129,percent
a,1.5 degC,27,MDG,Madagascar,90.60057058451187,81.0308993135463,106.29641902962695,percent
a,1.5 degC,28,RAR,Russian-Arctic,92.43766058279019,76.40473230049152,113.88969584668101,percent
a,1.5 degC,29,WSB,W.Siberia,90.64331876653074,76.0684853414034,110.29211397465146,percent
a,1.5 degC,30,ESB,E.Siberia,91.28699316405054,81.9345925148979,109.260279165805,percent
a,1.5 degC,31,RFE,Russian-Far-East,91.35459471197233,75.48384201579229,116.24043562592065,percent
a,1.5 degC,32,WCA,W.C.Asia,91.51338398763411,78.50114990146129,103.89174323153705,percent
a,1.5 degC,33,ECA,E.C.Asia,91.1027715591044,78.69270807850128,107.50903532124244,percent
a,1.5 degC,34,TIB,Tibetan-Plateau,91.95094122052905,78.8932680462761,109.38280421887245,percent
a,1.5 degC,35,EAS,E.Asia,90.4695208436659,80.81747343220064,105.68756551448399,percent
a,1.5 degC,36,ARP,Arabian-Peninsula,91.55426749944618,79.48491227243491,107.15315787173323,percent
a,1.5 degC,37,SAS,S.Asia,91.47644030177729,79.43035032446397,110.0029516808678,percent
a,1.5 degC,38,SEA,S.E.Asia,91.8646944858567,82.11085390054133,107.36346470521086,percent
a,1.5 degC,39,NAU,N.Australia,91.67092503227371,81.41162547141958,107.2283624364382,percent
a,1.5 degC,40,CAU,C.Australia,91.14209652059051,77.1474563683437,111.06008759736163,percent
a,1.5 degC,41,EAU,E.Australia,91.28495880304196,78.16961838290904,103.35061975044093,percent
a,1.5 degC,42,SAU,S.Australia,93.76717400387766,79.5995081630414,111.0476730905181,percent
a,1.5 degC,43,NZ,New-Zealand,91.54942033944478,79.64361642139963,112.14220210407693,percent
a,1.5 degC,44,EAN,E.Antarctica,92.10044492466753,69.80290369126052,131.16052523292808,percent
a,1.5 degC,45,WAN,W.Antarctica,91.40641432439284,66.9521041972163,147.2176397150875,percent
a,1.5 degC,46,LSAT,Global Land,91.79812269498842,82.70304105060008,106.52552027900381,percent
b,2 degC,0,GIC,Greenland/Iceland,73.02635354900782,56.62150196908424,105.35479171045998,percent
b,2 degC,1,NWN,N.W.North-America,70.50692913768768,56.75159844432201,91.26489867047502,percent
b,2 degC,2,NEN,N.E.North-America,72.5041385651179,59.758888269477794,92.95874915099424,percent
b,2 degC,3,WNA,W.North-America,70.1991225833612,58.97317909397503,87.46099676293751,percent
b,2 degC,4,CNA,C.North-America,70.41188221549758,59.55623813187599,86.7263748440784,percent
b,2 degC,5,ENA,E.North-America,69.2023296982179,58.77017787750586,84.01116603451251,percent
b,2 degC,6,NCA,N.Central-America,69.09296012816839,59.55316600393308,82.77300368936149,percent
b,2 degC,7,SCA,S.Central-America,68.96916955626111,60.10707337390896,81.97982877347366,percent
b,2 degC,8,CAR,Caribbean,69.30815770309191,59.42425920630717,81.58820218818448,percent
b,2 degC,9,NWS,N.W.South-America,70.02753444071277,57.764873692945976,89.4580347855378,percent
b,2 degC,10,NSA,N.South-America,68.2894889223585,53.476995331370944,93.21148570970344,percent
b,2 degC,11,NES,N.E.South-America,72.91919540596672,62.73476250154414,89.15959878088455,percent
b,2 degC,12,SAM,South-American-Monsoon,68.29746443323987,55.806998484481696,87.99568075619733,percent
b,2 degC,13,SWS,S.W.South-America,65.47647204342351,55.04507644878991,81.2910057549879,percent
b,2 degC,14,SES,S.E.South-America,72.30258697447756,60.141494487646575,87.89177841804467,percent
b,2 degC,15,SSA,S.South-America,72.32509245488245,59.99613747967978,91.76528035301473,percent
b,2 degC,16,NEU,N.Europe,73.28303293031423,58.46693058507492,98.66235963024906,percent
b,2 degC,17,WCE,West&Central-Europe,69.09500096911,58.6101197285353,83.6936795467672,percent
b,2 degC,18,EEU,E.Europe,68.90818427916943,57.49502087637887,86.93115098050416,percent
b,2 degC,19,MED,Mediterranean,68.99233041825205,59.53010714564775,82.49715407231666,percent
b,2 degC,20,SAH,Sahara,70.42508852183352,60.56329577549633,83.02681230299918,percent
b,2 degC,21,WAF,Western-Africa,69.40161956992279,59.176050145341044,84.03480875837536,percent
b,2 degC,22,CAF,Central-Africa,66.52026908111375,52.18137805417471,97.07445491315336,percent
b,2 degC,23,NEAF,N.Eastern-Africa,74.55040553712386,63.31448774255226,89.78207935654399,percent
b,2 degC,24,SEAF,S.Eastern-Africa,70.098365050984,58.01190857131775,88.50350932115948,percent
b,2 degC,25,WSAF,W.Southern-Africa,72.37482182881512,61.99595313805909,86.61652908330986,percent
b,2 degC,26,ESAF,E.Southern-Africa,70.44311088510486,59.42835515970438,85.84112418291903,percent
b,2 degC,27,MDG,Madagascar,67.15524510160465,58.35172148060078,80.40577075933089,percent
b,2 degC,28,RAR,Russian-Arctic,72.16691896372332,59.09851259148281,91.42634968150938,percent
b,2 degC,29,WSB,W.Siberia,67.26607804782061,55.31314594567072,85.05556442543606,percent
b,2 degC,30,ESB,E.Siberia,68.96736340759134,59.22197650945894,85.00705894080562,percent
b,2 degC,31,RFE,Russian-Far-East,69.14963753617995,55.89780559915718,90.8643409512082,percent
