panel,scheme,region_abbreviation,region_name,continent,metric,value,units,n,sample_unit
a,Region,GIC,Greenland/Iceland,North and Central America,Precision before adjustment,3.3432989202099823,degC,45,pseudo-observation realizations
a,Region,NWN,N.W.North-America,North and Central America,Precision before adjustment,1.5401038978346795,degC,45,pseudo-observation realizations
a,Region,NEN,N.E.North-America,North and Central America,Precision before adjustment,2.2836882595295087,degC,45,pseudo-observation realizations
a,Region,WNA,W.North-America,North and Central America,Precision before adjustment,0.6320491735174563,degC,45,pseudo-observation realizations
a,Region,CNA,C.North-America,North and Central America,Precision before adjustment,0.602750721889049,degC,45,pseudo-observation realizations
a,Region,ENA,E.North-America,North and Central America,Precision before adjustment,0.45363381437083033,degC,45,pseudo-observation realizations
a,Region,NCA,N.Central-America,North and Central America,Precision before adjustment,0.40282948521890277,degC,45,pseudo-observation realizations
a,Region,SCA,S.Central-America,North and Central America,Precision before adjustment,0.3054464117245672,degC,45,pseudo-observation realizations
a,Region,CAR,Caribbean,North and Central America,Precision before adjustment,0.22644674915713023,degC,45,pseudo-observation realizations
a,Region,NWS,N.W.South-America,South America,Precision before adjustment,0.5512322698853851,degC,45,pseudo-observation realizations
a,Region,NSA,N.South-America,South America,Precision before adjustment,1.0607808423498204,degC,45,pseudo-observation realizations
a,Region,NES,N.E.South-America,South America,Precision before adjustment,0.5427513554060177,degC,45,pseudo-observation realizations
a,Region,SAM,South-American-Monsoon,South America,Precision before adjustment,0.9929483562445376,degC,45,pseudo-observation realizations
a,Region,SWS,S.W.South-America,South America,Precision before adjustment,0.3805576878382386,degC,45,pseudo-observation realizations
a,Region,SES,S.E.South-America,South America,Precision before adjustment,0.5095543860596857,degC,45,pseudo-observation realizations
a,Region,SSA,S.South-America,South America,Precision before adjustment,0.28475781396303657,degC,45,pseudo-observation realizations
a,Region,NEU,N.Europe,Europe,Precision before adjustment,1.3271704308874948,degC,45,pseudo-observation realizations
a,Region,WCE,West&Central-Europe,Europe,Precision before adjustment,0.6512367718041893,degC,45,pseudo-observation realizations
a,Region,EEU,E.Europe,Europe,Precision before adjustment,0.9676627114734279,degC,45,pseudo-observation realizations
a,Region,MED,Mediterranean,Europe,Precision before adjustment,0.4437987303543631,degC,45,pseudo-observation realizations
a,Region,SAH,Sahara,Africa,Precision before adjustment,1.0322627928052224,degC,45,pseudo-observation realizations
a,Region,WAF,Western-Africa,Africa,Precision before adjustment,0.4559672170146138,degC,45,pseudo-observation realizations
a,Region,CAF,Central-Africa,Africa,Precision before adjustment,0.6884089356883342,degC,45,pseudo-observation realizations
a,Region,NEAF,N.Eastern-Africa,Africa,Precision before adjustment,0.577198618230978,degC,45,pseudo-observation realizations
a,Region,SEAF,S.Eastern-Africa,Africa,Precision before adjustment,0.6298212247769258,degC,45,pseudo-observation realizations
a,Region,WSAF,W.Southern-Africa,Africa,Precision before adjustment,0.5552669784028468,degC,45,pseudo-observation realizations
a,Region,ESAF,E.Southern-Africa,Africa,Precision before adjustment,0.49718685198152796,degC,45,pseudo-observation realizations
a,Region,MDG,Madagascar,Africa,Precision before adjustment,0.3384053867533814,degC,45,pseudo-observation realizations
a,Region,RAR,Russian-Arctic,Asia,Precision before adjustment,2.731437435475809,degC,45,pseudo-observation realizations
a,Region,WSB,W.Siberia,Asia,Precision before adjustment,1.137524057141523,degC,45,pseudo-observation realizations
a,Region,ESB,E.Siberia,Asia,Precision before adjustment,1.0114711354813128,degC,45,pseudo-observation realizations
a,Region,RFE,Russian-Far-East,Asia,Precision before adjustment,1.4307516253449395,degC,45,pseudo-observation realizations
a,Region,WCA,W.C.Asia,Asia,Precision before adjustment,0.7411216039907891,degC,45,pseudo-observation realizations
a,Region,ECA,E.C.Asia,Asia,Precision before adjustment,0.8121488850945817,degC,45,pseudo-observation realizations
a,Region,TIB,Tibetan-Plateau,Asia,Precision before adjustment,1.0993317482854903,degC,45,pseudo-observation realizations
a,Region,EAS,E.Asia,Asia,Precision before adjustment,0.44740377377822826,degC,45,pseudo-observation realizations
a,Region,ARP,Arabian-Peninsula,Asia,Precision before adjustment,0.7338922773873544,degC,45,pseudo-observation realizations
a,Region,SAS,S.Asia,Asia,Precision before adjustment,0.4213878574967783,degC,45,pseudo-observation realizations
a,Region,SEA,S.E.Asia,Australasia,Precision before adjustment,0.2747002235552765,degC,45,pseudo-observation realizations
a,Region,NAU,N.Australia,Australasia,Precision before adjustment,0.3743790363375005,degC,45,pseudo-observation realizations
a,Region,CAU,C.Australia,Australasia,Precision before adjustment,0.6905350971506269,degC,45,pseudo-observation realizations
a,Region,EAU,E.Australia,Australasia,Precision before adjustment,0.4343318967827595,degC,45,pseudo-observation realizations
a,Region,SAU,S.Australia,Australasia,Precision before adjustment,0.3198645245619502,degC,45,pseudo-observation realizations
a,Region,NZ,New-Zealand,Australasia,Precision before adjustment,0.3117839349858426,degC,45,pseudo-observation realizations
a,Region,EAN,E.Antarctica,Antarctica,Precision before adjustment,1.1952425377873577,degC,45,pseudo-observation realizations
a,Region,WAN,W.Antarctica,Antarctica,Precision before adjustment,1.9322189416564035,degC,45,pseudo-observation realizations
a,Regions within Continent,GIC,Greenland/Iceland,North and Central America,Precision before adjustment,1.8838731694470927,degC,45,pseudo-observation realizations
a,Regions within Continent,NWN,N.W.North-America,North and Central America,Precision before adjustment,0.7826217940995216,degC,45,pseudo-observation realizations
a,Regions within Continent,NEN,N.E.North-America,North and Central America,Precision before adjustment,1.1863572322475553,degC,45,pseudo-observation realizations
a,Regions within Continent,WNA,W.North-America,North and Central America,Precision before adjustment,0.4692961184515634,degC,45,pseudo-observation realizations
a,Regions within Continent,CNA,C.North-America,North and Central America,Precision before adjustment,0.4612409448251249,degC,45,pseudo-observation realizations
