panel,forcing,region_index,region_abbreviation,region_name,posterior_mean,lower_5th_percentile,upper_95th_percentile,units
a,ANT,0,GIC,Greenland/Iceland,1.921760344282749,1.2463151335104818,2.5972055550550155,degC
a,ANT,1,NWN,N.W.North-America,2.6052267029038823,1.9028592558703057,3.3075941499374584,degC
a,ANT,2,NEN,N.E.North-America,2.5146475016931675,1.8427069350467071,3.1865880683396277,degC
a,ANT,3,WNA,W.North-America,1.3625178796169664,1.083855696808011,1.6411800624259216,degC
a,ANT,4,CNA,C.North-America,1.4079754433567966,1.0722632445172633,1.7436876421963297,degC
a,ANT,5,ENA,E.North-America,1.3691525428308295,1.1062630732930203,1.6320420123686388,degC
a,ANT,6,NCA,N.Central-America,1.2095878689084378,1.0272423229028746,1.3919334149140008,degC
a,ANT,7,SCA,S.Central-America,1.073010606451639,0.8895276336014983,1.2564935793017793,degC
a,ANT,8,CAR,Caribbean,1.0177264341465806,0.8850147488788156,1.1504381194143456,degC
a,ANT,9,NWS,N.W.South-America,1.106790730701582,0.8513183253890453,1.3622631360141186,degC
a,ANT,10,NSA,N.South-America,1.2808818033234297,0.8565722411002132,1.705191365546646,degC
a,ANT,11,NES,N.E.South-America,1.3690303866527465,1.0773891853241935,1.6606715879812992,degC
a,ANT,12,SAM,South-American-Monsoon,1.389249807918219,0.8974179855474412,1.8810816302889966,degC
a,ANT,13,SWS,S.W.South-America,0.7921516304322953,0.6108293261316591,0.9734739347329313,degC
a,ANT,14,SES,S.E.South-America,0.9648474783874954,0.7093424416449079,1.2203525151300827,degC
a,ANT,15,SSA,S.South-America,0.590372861526635,0.41621189929852553,0.7645338237547444,degC
a,ANT,16,NEU,N.Europe,1.5361396856639875,0.763828114976547,2.308451256351428,degC
a,ANT,17,WCE,West&Central-Europe,1.8470956670369478,1.3976002069686864,2.2965911271052093,degC
a,ANT,18,EEU,E.Europe,1.9964569272731567,1.4017262981647494,2.591187556381564,degC
a,ANT,19,MED,Mediterranean,1.4871264451482245,1.25817444504743,1.7160784452490188,degC
a,ANT,20,SAH,Sahara,1.6612231226665857,1.3842572370971982,1.938189008235973,degC
a,ANT,21,WAF,Western-Africa,1.3033638285830933,1.0174788494152838,1.5892488077509026,degC
a,ANT,22,CAF,Central-Africa,1.1386039350313242,0.7947005562722895,1.4825073137903586,degC
a,ANT,23,NEAF,N.Eastern-Africa,1.4318514034067533,1.1397720613801818,1.7239307454333246,degC
a,ANT,24,SEAF,S.Eastern-Africa,1.1759747012721942,0.920314050590497,1.4316353519538911,degC
a,ANT,25,WSAF,W.Southern-Africa,1.2609800263517492,0.987192883424789,1.5347671692787093,degC
a,ANT,26,ESAF,E.Southern-Africa,1.2904312224926229,0.9704824801093737,1.6103799648758719,degC
a,ANT,27,MDG,Madagascar,1.1220488170470417,0.9568060262116672,1.2872916078824161,degC
a,ANT,28,RAR,Russian-Arctic,3.1402116888589955,2.0821875211380623,4.198235856579928,degC
a,ANT,29,WSB,W.Siberia,2.6211340658966575,1.9981298368719989,3.244138294921316,degC
a,ANT,30,ESB,E.Siberia,2.5391861043698616,2.089554018835753,2.98881818990397,degC
a,ANT,31,RFE,Russian-Far-East,1.9788275166117624,1.355250792166758,2.6024042410567665,degC
a,ANT,32,WCA,W.C.Asia,1.9671946757872247,1.648625388405007,2.285763963169442,degC
a,ANT,33,ECA,E.C.Asia,1.65399913312592,1.292064166787893,2.015934099463947,degC
a,ANT,34,TIB,Tibetan-Plateau,1.829977390393223,1.251764364611783,2.4081904161746626,degC
a,ANT,35,EAS,E.Asia,1.3991638686263694,1.1725842647137472,1.6257434725389917,degC
a,ANT,36,ARP,Arabian-Peninsula,1.7047795039719311,1.3485931125526331,2.060965895391229,degC
a,ANT,37,SAS,S.Asia,1.1041915157979394,0.8553357882728023,1.3530472433230762,degC
a,ANT,38,SEA,S.E.Asia,0.9403781908656499,0.7918162712655539,1.088940110465746,degC
a,ANT,39,NAU,N.Australia,0.9780725116633469,0.8098467416958903,1.1462982816308032,degC
a,ANT,40,CAU,C.Australia,1.2632331399150474,1.0289731479326918,1.497493131897403,degC
a,ANT,41,EAU,E.Australia,1.2050781675143385,0.9751655169539512,1.4349908180747257,degC
a,ANT,42,SAU,S.Australia,0.9502783157368566,0.7332733503109977,1.1672832811627154,degC
a,ANT,43,NZ,New-Zealand,0.9763640664296545,0.7582042891334368,1.194523843725872,degC
a,ANT,44,EAN,E.Antarctica,0.9816378659660461,0.6818995758594841,1.2813761560726078,degC
a,ANT,45,WAN,W.Antarctica,1.1276579922531793,0.3634186613931384,1.89189732311322,degC
a,ANT,46,LSAT,Global Land,1.4902962350695859,1.2969254059952762,1.6836670641438956,degC
b,NAT,0,GIC,Greenland/Iceland,-0.10091538896028326,-0.5969390229681995,0.39510824504763276,degC
b,NAT,1,NWN,N.W.North-America,0.02752865205076542,-0.3565736117281456,0.4116309158296763,degC
b,NAT,2,NEN,N.E.North-America,0.21719382150407357,-0.13330784346983654,0.5676954864779835,degC
b,NAT,3,WNA,W.North-America,0.04649059401967476,-0.13194224120374967,0.22492342924309908,degC
b,NAT,4,CNA,C.North-America,0.03811301531315993,-0.11878020639114716,0.19500623701746694,degC
b,NAT,5,ENA,E.North-America,0.09800963379042354,-0.07066712982600645,0.2666863974068534,degC
b,NAT,6,NCA,N.Central-America,0.14335470564746647,0.02842627886469766,0.2582831324302352,degC
b,NAT,7,SCA,S.Central-America,0.015300794715468313,-0.09463085680130302,0.12523244623223959,degC
b,NAT,8,CAR,Caribbean,0.03456533291574655,-0.026708466213285292,0.09583913204477837,degC
b,NAT,9,NWS,N.W.South-America,0.04020887868990654,-0.08229170968376444,0.16270946706357747,degC
b,NAT,10,NSA,N.South-America,0.0067652068711740315,-0.12570756751008072,0.1392379812524287,degC
b,NAT,11,NES,N.E.South-America,0.019644387613324103,-0.08163809908891236,0.1209268743155605,degC
b,NAT,12,SAM,South-American-Monsoon,-0.02739793614394266,-0.165829547314076,0.11103367502619065,degC
b,NAT,13,SWS,S.W.South-America,0.08209948516853191,-0.0063670909333061465,0.17056606127036994,degC
b,NAT,14,SES,S.E.South-America,-0.033189005535629215,-0.1611806282080584,0.0948026171367999,degC
b,NAT,15,SSA,S.South-America,0.2955921525151709,0.18686903097195473,0.404315274058387,degC
b,NAT,16,NEU,N.Europe,0.14792226372045575,-0.3640558198596972,0.6599003473006084,degC
b,NAT,17,WCE,West&Central-Europe,0.1269258283469876,-0.18882832181589296,0.44267997850986796,degC
b,NAT,18,EEU,E.Europe,0.19753443770202245,-0.22731868950092365,0.6223875649049683,degC
b,NAT,19,MED,Mediterranean,0.0941625008325703,-0.08653061150109109,0.27485561316623164,degC
b,NAT,20,SAH,Sahara,0.05074870977951943,-0.13939894740324452,0.24089636696228328,degC
b,NAT,21,WAF,Western-Africa,0.08468885424650355,-0.07158822199152173,0.24096593048452875,degC
b,NAT,22,CAF,Central-Africa,-0.01125315866350822,-0.19143742779008194,0.16893111046306541,degC
b,NAT,23,NEAF,N.Eastern-Africa,0.07019507276352822,-0.07610623963060799,0.21649638515766434,degC
b,NAT,24,SEAF,S.Eastern-Africa,0.024965374201327092,-0.10840123376401735,0.1583319821666715,degC
b,NAT,25,WSAF,W.Southern-Africa,0.059367144680756476,-0.051249907583958226,0.16998419694547112,degC
b,NAT,26,ESAF,E.Southern-Africa,0.004883871130324943,-0.1178562687620724,0.12762401102272222,degC
b,NAT,27,MDG,Madagascar,-0.013146098843450936,-0.07514456814452744,0.048852370457625534,degC
b,NAT,28,RAR,Russian-Arctic,0.19818016173010397,-0.26959646180273633,0.665956785262944,degC
b,NAT,29,WSB,W.Siberia,-0.22597908686256488,-0.688326085525769,0.236367911800639,degC
b,NAT,30,ESB,E.Siberia,0.0004897536113905795,-0.25068058493099127,0.25166009215377233,degC
b,NAT,31,RFE,Russian-Far-East,0.08183357646096258,-0.24085335027090854,0.4045205031928335,degC
b,NAT,32,WCA,W.C.Asia,0.07261577557134757,-0.1638236882102982,0.30905523935299317,degC
b,NAT,33,ECA,E.C.Asia,0.09392473606797426,-0.022334619130832706,0.21018409126678117,degC
b,NAT,34,TIB,Tibetan-Plateau,0.09924755190253148,-0.020953477619487654,0.21944858142455057,degC
b,NAT,35,EAS,E.Asia,0.11209046167309453,0.036483163127344134,0.18769776021884488,degC
b,NAT,36,ARP,Arabian-Peninsula,0.06998155541465509,-0.10461013910315045,0.24457324993246052,degC
b,NAT,37,SAS,S.Asia,0.08885467137265644,-0.03322161029435339,0.2109309530396662,degC
b,NAT,38,SEA,S.E.Asia,0.06031850061923609,-0.02085255407195577,0.1414895553104279,degC
b,NAT,39,NAU,N.Australia,0.02703119139435436,-0.04926421598542555,0.10332659877413423,degC
b,NAT,40,CAU,C.Australia,0.039180657306341314,-0.13313962373715882,0.21150093834984135,degC
