panel,record_type,continent,year,years_without_sufficient_observations,grid_percentage,temperature_anomaly,threshold_grid_percentage,first_year_meeting_threshold,units
a,continent_map,North and Central America,,105.0,,,30,,years
a,continent_map,South America,,124.0,,,30,,years
a,continent_map,Europe,,167.0,,,30,,years
a,continent_map,Africa,,107.0,,,30,,years
a,continent_map,Asia,,98.0,,,30,,years
a,continent_map,Australasia,,147.0,,,30,,years
a,continent_map,Antarctica,,0.0,,,30,,years
b,global_land_time_series,,1850,,13.71647509578544,nan,30,1885,percent and degC
b,global_land_time_series,,1851,,13.486590038314175,nan,30,1885,percent and degC
b,global_land_time_series,,1852,,13.793103448275861,nan,30,1885,percent and degC
b,global_land_time_series,,1853,,14.329501915708812,nan,30,1885,percent and degC
b,global_land_time_series,,1854,,17.547892720306514,nan,30,1885,percent and degC
b,global_land_time_series,,1855,,17.8544061302682,nan,30,1885,percent and degC
b,global_land_time_series,,1856,,20.153256704980844,nan,30,1885,percent and degC
b,global_land_time_series,,1857,,20.383141762452105,nan,30,1885,percent and degC
b,global_land_time_series,,1858,,18.084291187739463,nan,30,1885,percent and degC
b,global_land_time_series,,1859,,18.314176245210728,nan,30,1885,percent and degC
b,global_land_time_series,,1860,,15.862068965517242,nan,30,1885,percent and degC
b,global_land_time_series,,1861,,11.647509578544062,nan,30,1885,percent and degC
b,global_land_time_series,,1862,,12.337164750957855,nan,30,1885,percent and degC
b,global_land_time_series,,1863,,11.57088122605364,nan,30,1885,percent and degC
b,global_land_time_series,,1864,,10.651340996168582,nan,30,1885,percent and degC
b,global_land_time_series,,1865,,10.881226053639846,nan,30,1885,percent and degC
b,global_land_time_series,,1866,,11.340996168582375,nan,30,1885,percent and degC
b,global_land_time_series,,1867,,11.264367816091953,nan,30,1885,percent and degC
b,global_land_time_series,,1868,,12.950191570881225,nan,30,1885,percent and degC
b,global_land_time_series,,1869,,15.938697318007664,nan,30,1885,percent and degC
b,global_land_time_series,,1870,,16.32183908045977,nan,30,1885,percent and degC
b,global_land_time_series,,1871,,15.862068965517242,nan,30,1885,percent and degC
b,global_land_time_series,,1872,,18.46743295019157,nan,30,1885,percent and degC
b,global_land_time_series,,1873,,18.544061302681992,nan,30,1885,percent and degC
b,global_land_time_series,,1874,,19.54022988505747,nan,30,1885,percent and degC
b,global_land_time_series,,1875,,20.53639846743295,nan,30,1885,percent and degC
b,global_land_time_series,,1876,,20.076628352490424,nan,30,1885,percent and degC
b,global_land_time_series,,1877,,21.149425287356323,nan,30,1885,percent and degC
b,global_land_time_series,,1878,,21.60919540229885,nan,30,1885,percent and degC
b,global_land_time_series,,1879,,23.371647509578544,nan,30,1885,percent and degC
b,global_land_time_series,,1880,,24.367816091954023,nan,30,1885,percent and degC
b,global_land_time_series,,1881,,26.436781609195403,nan,30,1885,percent and degC
b,global_land_time_series,,1882,,26.97318007662835,nan,30,1885,percent and degC
b,global_land_time_series,,1883,,28.659003831417625,nan,30,1885,percent and degC
b,global_land_time_series,,1884,,29.57854406130268,nan,30,1885,percent and degC
b,global_land_time_series,,1885,,30.65134099616858,-0.5600770656550181,30,1885,percent and degC
b,global_land_time_series,,1886,,31.417624521072796,-0.41749215477843665,30,1885,percent and degC
b,global_land_time_series,,1887,,31.11111111111111,-0.4502336440289356,30,1885,percent and degC
b,global_land_time_series,,1888,,31.570881226053636,-0.4376572727892982,30,1885,percent and degC
b,global_land_time_series,,1889,,31.18773946360153,-0.20208018968311378,30,1885,percent and degC
b,global_land_time_series,,1890,,32.490421455938694,-0.3781664071583281,30,1885,percent and degC
b,global_land_time_series,,1891,,31.724137931034484,-0.4337092810157297,30,1885,percent and degC
b,global_land_time_series,,1892,,31.264367816091955,-0.5497959239708955,30,1885,percent and degC
b,global_land_time_series,,1893,,31.95402298850575,-0.5718637396992465,30,1885,percent and degC
b,global_land_time_series,,1894,,31.800766283524908,-0.3908553717084283,30,1885,percent and degC
b,global_land_time_series,,1895,,32.720306513409966,-0.45503248621094283,30,1885,percent and degC
b,global_land_time_series,,1896,,33.02681992337165,-0.29735142248028,30,1885,percent and degC
b,global_land_time_series,,1897,,33.793103448275865,-0.21141115186224924,30,1885,percent and degC
b,global_land_time_series,,1898,,33.946360153256705,-0.4131513445800662,30,1885,percent and degC
b,global_land_time_series,,1899,,35.09578544061303,-0.31382141364588373,30,1885,percent and degC
b,global_land_time_series,,1900,,34.02298850574713,-0.19229054058348405,30,1885,percent and degC
b,global_land_time_series,,1901,,36.24521072796935,-0.2353354327784221,30,1885,percent and degC
b,global_land_time_series,,1902,,38.77394636015325,-0.49439434840119095,30,1885,percent and degC
b,global_land_time_series,,1903,,39.157088122605366,-0.4767698010952447,30,1885,percent and degC
b,global_land_time_series,,1904,,39.616858237547895,-0.580682512366688,30,1885,percent and degC
b,global_land_time_series,,1905,,40.15325670498085,-0.44708551194202545,30,1885,percent and degC
b,global_land_time_series,,1906,,40.84291187739464,-0.2962897117566903,30,1885,percent and degC
b,global_land_time_series,,1907,,41.91570881226054,-0.6290126194046946,30,1885,percent and degC
b,global_land_time_series,,1908,,42.298850574712645,-0.5387003348934843,30,1885,percent and degC
b,global_land_time_series,,1909,,42.5287356321839,-0.46072672887726984,30,1885,percent and degC
b,global_land_time_series,,1910,,43.29501915708812,-0.45287860514805095,30,1885,percent and degC
b,global_land_time_series,,1911,,43.9080459770115,-0.5050168627275021,30,1885,percent and degC
b,global_land_time_series,,1912,,43.60153256704981,-0.5006127062180108,30,1885,percent and degC
b,global_land_time_series,,1913,,44.21455938697318,-0.43095868920240715,30,1885,percent and degC
b,global_land_time_series,,1914,,44.36781609195402,-0.19886179263271864,30,1885,percent and degC
b,global_land_time_series,,1915,,42.8352490421456,-0.13758792032295025,30,1885,percent and degC
b,global_land_time_series,,1916,,43.29501915708812,-0.41420948866500085,30,1885,percent and degC
b,global_land_time_series,,1917,,44.36781609195402,-0.5850563445799623,30,1885,percent and degC
b,global_land_time_series,,1918,,40.84291187739464,-0.451833464110533,30,1885,percent and degC
b,global_land_time_series,,1919,,40.91954022988506,-0.32856306574851646,30,1885,percent and degC
b,global_land_time_series,,1920,,41.0727969348659,-0.2742281174633117,30,1885,percent and degC
b,global_land_time_series,,1921,,43.14176245210728,-0.14103409403110367,30,1885,percent and degC
b,global_land_time_series,,1922,,44.90421455938697,-0.29135808429322885,30,1885,percent and degC
b,global_land_time_series,,1923,,46.053639846743295,-0.305129630451326,30,1885,percent and degC
b,global_land_time_series,,1924,,46.513409961685824,-0.3455624044662657,30,1885,percent and degC
b,global_land_time_series,,1925,,46.89655172413793,-0.2469784859540072,30,1885,percent and degC
b,global_land_time_series,,1926,,47.58620689655172,-0.10920970462425164,30,1885,percent and degC
b,global_land_time_series,,1927,,48.04597701149425,-0.25944921639489377,30,1885,percent and degC
b,global_land_time_series,,1928,,47.89272030651341,-0.19579335233361642,30,1885,percent and degC
