panel,ensemble_group,n_model_means,sample_unit,region_index,region_abbreviation,region_name,model_name,warming_2016_2025_relative_to_1850_1900,units
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,ACCESS-CM2,1.9444292842957878,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,ACCESS-ESM1-5,2.2127972848410993,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,BCC-CSM2-MR,1.6330634250897489,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,CESM2,2.453992789335799,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,CMCC-ESM2,1.9884689057657696,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,CNRM-CM6-1,2.2365526883631714,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,CNRM-ESM2-1,1.685974275032514,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,CanESM5,4.82690443306438,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,EC-Earth3-Veg,5.31294088330134,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,FGOALS-g3,1.7530126452968926,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,GFDL-CM4,2.465113922796288,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,GFDL-ESM4,1.0780909431796555,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,HadGEM3-GC31-LL,2.6802073885862256,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,INM-CM4-8,0.8980149599582823,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,INM-CM5-0,1.9760886725042055,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,IPSL-CM6A-LR,2.4470781320879817,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,MIROC-ES2L,1.7209239287901255,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,MIROC6,1.6790333050134039,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,MPI-ESM1-2-HR,2.417603384474636,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,MPI-ESM1-2-LR,2.227686179162697,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,MRI-ESM2-0,2.1419741977740956,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,NESM3,3.2768243775191217,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,NorESM2-LM,0.7616762374546511,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,NorESM2-MM,1.5948539819808036,degC
a,Full ensemble,25,independent climate-model mean,0,GIC,Greenland/Iceland,UKESM1-0-LL,2.6609742049368452,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,ACCESS-CM2,1.9588332398819346,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,ACCESS-ESM1-5,2.413446955175462,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,BCC-CSM2-MR,1.8949746106137368,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,CESM2,2.286142546442498,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,CMCC-ESM2,2.771794973301547,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,CNRM-CM6-1,2.1795234112650013,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,CNRM-ESM2-1,1.7111122590079124,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,CanESM5,3.3937056832331756,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,EC-Earth3-Veg,2.853859487348843,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,FGOALS-g3,3.1091867370363415,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,GFDL-CM4,1.855940425209112,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,GFDL-ESM4,1.6606199145765985,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,HadGEM3-GC31-LL,2.830991817254356,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,INM-CM4-8,1.363723769795325,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,INM-CM5-0,2.053264158710342,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,IPSL-CM6A-LR,3.1769536965857332,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,MIROC-ES2L,1.8706070104037635,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,MIROC6,2.1985061545585975,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,MPI-ESM1-2-HR,2.453060653670427,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,MPI-ESM1-2-LR,2.465319912405115,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,MRI-ESM2-0,2.3017990448595773,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,NESM3,3.249022044500633,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,NorESM2-LM,1.9686422425540755,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,NorESM2-MM,1.3769899204507294,degC
a,Full ensemble,25,independent climate-model mean,1,NWN,N.W.North-America,UKESM1-0-LL,2.281756077279786,degC
a,Full ensemble,25,independent climate-model mean,2,NEN,N.E.North-America,ACCESS-CM2,2.3724174899143025,degC
a,Full ensemble,25,independent climate-model mean,2,NEN,N.E.North-America,ACCESS-ESM1-5,2.3134412047426833,degC
a,Full ensemble,25,independent climate-model mean,2,NEN,N.E.North-America,BCC-CSM2-MR,2.6518518289708526,degC
a,Full ensemble,25,independent climate-model mean,2,NEN,N.E.North-America,CESM2,3.032071144567591,degC
